Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-10-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-10-6,0.359543,0,0.009828,0.203112,0.592525,0.192994,0,0.650651,0.0646185,,,,,,,,,,
2017-07-10-7,3.37646,1.17796,1.46765,3.62817,1.76065,3.05066,3.06517,4.61338,1.47602,,,,,,,,,,
2017-07-10-8,13.0733,14.0851,3.2416,8.32432,6.97826,15.3515,23.2851,10.7964,6.13535,,,,,,,,,,
2017-07-10-9,22.4998,22.3409,10.1409,21.2547,10.6214,22.5905,18.3499,20.3577,21.0792,,,,,,,,,,
2017-07-10-10,29.6501,26.5594,29.4349,29.4627,25.6445,24.2258,28.1345,42.2666,38.6827,,,,,,,,,,
2017-07-10-11,25.687,41.8661,47.2579,35.3792,23.1254,35.4059,38.7616,57.3235,43.5596,,,,,,,,,,
2017-07-10-12,49.5791,27.8179,38.0524,45.6642,38.7546,38.9577,30.662,48.8062,55.9562,,,,,,,,,,
2017-07-10-13,50.6658,51.0078,38.1392,50.7616,29.2538,41.988,55.5499,52.1403,36.0979,,,,,,,,,,
2017-07-10-14,17.2094,45.7423,33.7068,53.5479,40.8132,33.564,49.4024,51.9051,24.3748,,,,,,,,,,
2017-07-10-15,31.5452,46.9437,26.113,41.6986,36.6892,29.7854,58.2383,56.9154,12.0394,,,,,,,,,,
2017-07-10-16,37.1167,24.0122,41.7297,22.7338,34.5527,40.2376,46.5119,43.6341,24.2693,,,,,,,,,,
2017-07-10-17,32.2318,24.7908,32.3734,22.8796,30.879,25.035,39.3507,24.4638,29.1531,,,,,,,,,,
2017-07-10-18,21.2941,14.4207,20.9762,10.5929,16.3266,3.71767,35.5218,7.70489,10.8967,,,,,,,,,,
2017-07-10-19,8.10999,2.43646,8.42423,3.70516,4.65556,5.11942,2.88709,9.35909,3.66285,,,,,,,,,,
2017-07-10-20,1.10296,0.298684,1.22686,0.954954,0.92434,1.40175,0.109593,1.13956,0.0306087,,,,,,,,,,
2017-07-10-21,0.01622,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-10-22,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-10-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-11-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-11-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-11-2,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-11-3,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-11-4,0,0,0,0,0.0203152,0,0,0,0.00680194,,,,,,,,,,
2017-07-11-5,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-11-6,0.0919132,0.003356,0,0.095004,0.0169293,0.145592,0,0.0882239,0.00340097,,,,,,,,,,
