Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-04-20,20,900.18,1134.9,1217.4,909,392.44,490.86,615.06,909.09,1248.48,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-04-21,21,876.06,1135.8,1300.8,939,355.61,462.42,847.98,1013.67,1031.04,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-04-22,22,824.94,1085.76,1132.8,801,361.4,441,781.74,924.48,762.12,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-04-23,23,735.66,991.26,880.8,916.2,387.04,401.4,760.86,898.92,720.72,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-05-0,0,617.4,857.7,372.6,502.2,351.42,191.16,641.52,939.33,690.48,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-05-1,1,545.76,743.94,424.2,392.4,359.14,321.48,802.44,1018.98,693.36,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-05-2,2,497.7,694.44,367.8,325.8,413.93,449.19,792.9,1028.43,687.6,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-05-3,3,508.68,648.72,416.4,374.4,412.28,449.46,758.52,928.71,703.44,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-05-4,4,558,635.4,424.8,314.4,362.05,426.24,459.72,912.06,716.04,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-05-5,5,510.84,645.12,939.6,640.8,363.49,457.29,736.56,960.03,741.96,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-05-6,6,624.06,720.54,1242.6,984.6,400.4,391.77,760.5,1052.55,813.24,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-05-7,7,745.74,852.48,1392.6,1284,516.6,328.86,670.5,970.56,949.32,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-05-8,8,784.8,879.3,1463.4,1373.4,422.35,399.06,862.92,1052.82,1270.08,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-05-9,9,708.66,874.62,1150.8,927.6,473.76,402.12,807.3,1059.3,1728,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-05-10,10,633.06,849.96,1353.6,804.6,488.1,264.69,845.1,1042.47,2180.52,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-05-11,11,625.86,826.38,1360.2,876.6,493.27,402.48,838.44,974.52,2353.32,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-05-12,12,648,830.52,1606.2,851.4,379.55,228.06,624.06,936.18,2323.44,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-05-13,13,670.68,831.78,1351.2,973.8,469.33,380.34,843.48,1076.49,2362.32,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-05-14,14,615.06,859.32,1805.4,905.4,498.96,322.83,732.42,994.68,2368.8,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-05-15,15,615.06,882.54,1822.8,947.4,304.44,421.02,758.34,1024.47,2323.8,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-05-16,16,636.48,907.02,1777.8,898.8,341.86,324.09,602.46,1056.24,1706.04,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-05-17,17,669.6,924.3,1431.6,951,484.09,305.19,225.9,1009.62,2200.68,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-05-18,18,804.42,968.58,1479.6,987,421.7,442.35,216.54,1028.97,2099.88,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-05-19,19,815.76,1043.46,1388.4,1051.8,429.13,335.16,234,1017.99,1841.4,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-05-20,20,872.1,1111.14,1334.4,916.2,400.03,365.4,522.9,1059.3,1585.08,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-05-21,21,871.56,1101.6,1390.2,951.6,418.18,449.37,772.74,937.17,1253.88,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
